"dep_delay_lag","origin","dep_delay_mean"
-43,"JFK",-3
-33,"LGA",-5
-32,"LGA",46
-30,"LGA",-5
-27,"LGA",4
-26,"LGA",1
-25,"EWR",-11
-25,"LGA",27
-24,"JFK",-4
-24,"LGA",-2.66666666666667
-23,"EWR",-7.5
-23,"JFK",-2
-23,"LGA",52.3333333333333
-22,"EWR",26.5
-22,"JFK",-9
-22,"LGA",17.8571428571429
-21,"EWR",-4.66666666666667
-21,"JFK",-5
-21,"LGA",14
-20,"EWR",16.8181818181818
-20,"JFK",-2
-20,"LGA",17.5652173913043
-19,"EWR",3
-19,"JFK",8
-19,"LGA",0.545454545454545
-18,"EWR",13.5
-18,"JFK",2.33333333333333
-18,"LGA",6.22222222222222
-17,"EWR",12.3076923076923
-17,"JFK",-4.33333333333333
-17,"LGA",8.95454545454546
-16,"EWR",1.56756756756757
-16,"JFK",1.36666666666667
-16,"LGA",4.32631578947368
-15,"EWR",9.21551724137931
-15,"JFK",4.25641025641026
-15,"LGA",-0.523364485981308
-14,"EWR",4.56944444444444
-14,"JFK",5.49295774647887
-14,"LGA",4.17562724014337
-13,"EWR",8.32034632034632
-13,"JFK",1.49264705882353
-13,"LGA",4.5625
-12,"EWR",6.60240963855422
-12,"JFK",5.97026022304833
-12,"LGA",1.31973539140022
-11,"EWR",4.08909370199693
-11,"JFK",4.25090252707581
-11,"LGA",1.6268951878708
-10,"EWR",4.69358533791524
-10,"JFK",3.35242290748899
-10,"LGA",2.38009376126938
-9,"EWR",5.09622144112478
-9,"JFK",4.58526315789474
-9,"LGA",1.59739907884042
-8,"EWR",5.1244323342416
-8,"JFK",4.52924528301887
-8,"LGA",1.44998112495281
-7,"EWR",5.42280773981062
-7,"JFK",3.36435045317221
-7,"LGA",1.79310844071232
-6,"EWR",5.32669072650243
-6,"JFK",4.34695131316234
-6,"LGA",2.88703679958969
-5,"EWR",6.24148723084627
-5,"JFK",4.86081570643917
-5,"LGA",2.74291938997821
-4,"EWR",5.99706744868035
-4,"JFK",5.09251051255825
-4,"LGA",3.44407758976475
-3,"EWR",6.82430678466077
-3,"JFK",5.69420113094578
-3,"LGA",5.01717956378847
-2,"EWR",7.57099135063207
-2,"JFK",7.28040004878644
-2,"LGA",4.93812824956672
-1,"EWR",8.29908536585366
-1,"JFK",8.08290084676318
-1,"LGA",5.21644844517185
0,"EWR",9.31101163831692
0,"JFK",8.07506443298969
0,"LGA",5.9955204778157
1,"EWR",10.5335764205409
1,"JFK",8.80088495575221
1,"LGA",7.24840137727496
2,"EWR",11.9541525742202
2,"JFK",9.18785850860421
2,"LGA",7.56571815718157
3,"EWR",12.9310931518503
3,"JFK",11.5129982668977
3,"LGA",9.54758418740849
4,"EWR",11.9484693877551
4,"JFK",11.6220472440945
4,"LGA",8.8382229673093
5,"EWR",14.1743753322701
5,"JFK",11.7286295793758
5,"LGA",9.24655013799448
6,"EWR",14.3782091421415
6,"JFK",11.5948345439871
6,"LGA",9.28842105263158
7,"EWR",15.5801259622113
7,"JFK",12.7582236842105
7,"LGA",8.52934407364787
8,"EWR",12.6636838180462
8,"JFK",12.9635157545605
8,"LGA",11.8667466986795
9,"EWR",15.8960396039604
9,"JFK",11.9613935969868
9,"LGA",11.6467598475222
10,"EWR",17.5709188224799
10,"JFK",14.5100200400802
10,"LGA",13.3883626522327
11,"EWR",15.1705029838022
11,"JFK",13.7907761529809
11,"LGA",12.8686868686869
12,"EWR",13.831094049904
12,"JFK",16.5434782608696
12,"LGA",12.4564516129032
13,"EWR",16.4728033472803
13,"JFK",15.1423173803526
13,"LGA",14.6117824773414
14,"EWR",15.25
14,"JFK",16.3056994818653
14,"LGA",11.8916083916084
15,"EWR",15.8115246098439
15,"JFK",15.3558106169297
15,"LGA",13.2932454695222
16,"EWR",19.7797619047619
16,"JFK",14.9511854951185
16,"LGA",15.2889733840304
17,"EWR",16.9164456233422
17,"JFK",16.3604465709729
17,"LGA",12.959100204499
18,"EWR",16.6019830028329
18,"JFK",16.3418803418803
18,"LGA",14.4541484716157
19,"EWR",17.6996996996997
19,"JFK",15.107544141252
19,"LGA",10.8727272727273
20,"EWR",17.3626865671642
20,"JFK",16.2174688057041
20,"LGA",16.4228329809725
21,"EWR",19.6625766871166
21,"JFK",16.2976653696498
21,"LGA",17.7049180327869
22,"EWR",18.027868852459
22,"JFK",18.7980198019802
22,"LGA",16.9238845144357
23,"EWR",18.8356401384083
23,"JFK",17.7042253521127
23,"LGA",19.1172069825436
24,"EWR",16.2474747474747
24,"JFK",17.3681917211329
24,"LGA",13.8461538461538
25,"EWR",21.5275142314991
25,"JFK",19.3333333333333
25,"LGA",15.7637795275591
26,"EWR",20.9639468690702
26,"JFK",22.5280373831776
26,"LGA",21.158357771261
27,"EWR",18.82995951417
