"FIPS","year","county_name","pincp","c02_055","c02_056","c02_057","c02_058","c04_055","c04_056","c04_057","c04_058","c06_055","c06_056","c06_057","c06_058","c01_001","c01_002","c01_003","c01_004","c01_005","c01_006","c01_007","c01_008","c01_009","c01_010","c01_011","c01_012","c01_013","c01_014","c01_015","c01_016","c01_017","c01_018","c01_019","c01_020","c01_021","c01_022","c01_023","c01_024","c01_025","c01_026","c01_027","c01_028","c01_029","c01_030","c01_031","c01_032","c01_033","c01_034","c01_035","c01_036","c01_037","c01_038","c01_039","c01_040","c01_041","c01_042","c01_043","c01_044","c01_045","c01_046","c01_047","c01_048","c01_049","c01_050","c01_051","c01_052","c01_053","c01_054","c03_001","c03_002","c03_003","c03_004","c03_005","c03_006","c03_007","c03_008","c03_009","c03_010","c03_011","c03_012","c03_013","c03_014","c03_015","c03_016","c03_017","c03_018","c03_019","c03_020","c03_021","c03_022","c03_023","c03_024","c03_025","c03_026","c03_027","c03_028","c03_029","c03_030","c03_031","c03_032","c03_033","c03_034","c03_035","c03_036","c03_037","c03_038","c03_039","c03_040","c03_041","c03_042","c03_043","c03_044","c03_045","c03_046","c03_047","c03_048","c03_049","c03_050","c03_051","c03_052","c03_053","c03_054","c05_001","c05_002","c05_003","c05_004","c05_005","c05_006","c05_007","c05_008","c05_009","c05_010","c05_011","c05_012","c05_013","c05_014","c05_015","c05_016","c05_017","c05_018","c05_019","c05_020","c05_021","c05_022","c05_023","c05_024","c05_025","c05_026","c05_027","c05_028","c05_029","c05_030","c05_031","c05_032","c05_033","c05_034","c05_035","c05_036","c05_037","c05_038","c05_039","c05_040","c05_041","c05_042","c05_043","c05_044","c05_045","c05_046","c05_047","c05_048","c05_049","c05_050","c05_051","c05_052","c05_053","c05_054"
36001,2015,"Albany",55793,30.9,13.9,8.2,4.6,30.3,13.2,6.3,4.2,31.4,14.5,9.9,5,44478,7.18332658842574,23.573452043707,51.8211250505868,17.4220963172805,204024,2.44039916872525,4.79257342273458,26.4733560757558,16.6176528251578,11.1099674548092,20.1368466454927,18.4292044073246,NA,NA,39963,95.8361484373045,48.9702975252108,35118,93.960362207415,41.1128196366536,83278,93.4364417973534,36.862076418742,45665,87.9426256432717,30.6098762728567,166485,94.2192990359492,40.1705859386732,97.0039342883743,91.6478962068655,39.0101210319248,21968,86.5577203204661,17.1522214129643,1.51584122359796,1.14257101238165,0.10469774217043,10089,87.1047675686391,62.9993061750421,87,100,6.89655172413793,2060,80.3883495145631,21.0679611650485,3002,86.90872751499,40.6062624916722,8052,84.0412319920517,32.2404371584699,21960,8.70673952641166,25.856102003643,51.6302367941712,13.8069216757741,96713,2.48880708901595,4.95486646055856,25.3678409314156,17.2220901016409,10.4670519992142,21.871930350625,17.6274130675297,NA,NA,19941,95.6571887066847,46.5974625144175,17289,93.8631499797559,37.8853606339291,40378,92.4463816930011,37.6987468423399,19105,88.3695367704789,37.3567129023816,79367,93.9370267239533,41.0825658019076,96.8210969294543,91.2255723411493,39.9624529086396,10087,84.8517894319421,15.5844155844156,1.22930504609894,NA,0,4748,88.6899747262005,67.9233361415333,21,100,0,889,89.4263217097863,19.7975253093363,1477,88.3547731888964,42.1123899796886,3817,86.140948388787,31.6740895991616,22518,5.69766409094946,21.3473665512035,52.0072830624389,20.9476862954081,107311,2.39677199914268,4.64630839336135,27.4696908984168,16.0729095805649,11.6893887858654,18.5731192515213,19.1518110911277,"(X)","(X)",20022,96.0143841774048,51.3335331135751,17829,94.0546300970329,44.2425262213248,42900,94.3682983682984,36.0745920745921,26560,87.6355421686747,25.7567771084337,87118,94.4764572189444,39.3397460915081,97.1705043733786,92.0326453775339,38.1425193415827,11881,88.0060600959515,18.4832926521337,1.75911118592711,1.5402743876778,0.193586398451309,5341,85.6955626287212,58.6219809024527,66,100,9.09090909090909,1171,73.5269000853971,22.0324508966695,1525,85.5081967213115,39.1475409836066,4235,82.1487603305785,32.7508854781582
36001,2016,"Albany",55805,28,14.4,8.3,4.1,28.2,13.9,6.7,3.5,27.8,14.8,9.8,4.5,45357,6.32316952179377,23.162907599709,52.2212668386357,18.2926560398615,204003,2.40976848379681,4.88473208727323,25.6907986647255,16.0076077312589,11.278755704573,20.611461596153,19.1168757322196,NA,NA,39900,95.8345864661654,49.7368421052632,34873,94.2362286009234,43.7587818656267,82389,93.1859835657673,37.4673803541735,46841,88.0553361371448,32.1790738882603,165619,94.3098316014467,41.7657394381079,96.8246396850603,91.5933558347774,40.5943762491019,22161,86.2731826181129,16.3891521140743,1.43044086458192,1.00627228013176,0.085736203239926,10716,86.7861142217245,61.8047779022023,72,100,6.94444444444444,2088,74.7605363984674,19.3007662835249,3030,87.5247524752475,39.3729372937294,8278,82.5803334138681,31.2152693887412,22410,7.79116465863454,25.3770638107988,52.8246318607764,14.0071396697903,96727,2.31786367818706,4.89522056923093,25.234939572198,16.6179039978496,10.6330187021204,21.8201743050027,18.4808791754112,NA,NA,19925,95.1468005018821,46.4792973651192,17121,94.4687810291455,40.9613924420303,39950,92.7734668335419,37.7722152690864,19731,88.9716689473417,38.609295017992,79005,94.3028922220113,42.0277197645719,96.6141383456743,91.4030757546991,40.9594329472818,10106,85.6026123095191,15.772808232733,1.07856718780922,NA,0,5079,88.3638511518015,65.8003544004725,18,100,0,868,79.6082949308756,17.5115207373272,1542,88.1971465629053,44.7470817120623,3921,84.7232848763071,29.2527416475389,22947,4.88952804288142,21.000566522857,51.6320216150259,22.4778838192356,107276,2.4926358178903,4.87527499161043,26.101830791603,15.4573250307618,11.8609940713673,19.5216078153548,19.6903314814124,"(X)","(X)",19975,96.5206508135169,52.9862327909887,17752,94.0119423163587,46.4567372690401,42439,93.5743066519004,37.1804236669102,27110,87.3884175580966,27.4990778310586,86614,94.3161613595954,41.5267739626388,97.0166485787517,91.7669198974762,40.2613896136883,12055,86.8353380340108,16.9058481957694,1.72542513479884,1.5346329323932,0.157610949813355,5637,85.3645556146887,58.2047188220685,54,100,9.25925925925926,1220,71.3114754098361,20.5737704918033,1488,86.8279569892473,33.8037634408602,4357,80.6518246499885,32.981409226532
36001,2017,"Albany",59640,28,14,8.1,3.7,26.5,13.7,7,3.4,29.4,14.3,9.1,4.1,45589,6.43137598982211,24.1198534734256,50.3959288424839,19.0528416942684,204833,2.49178599151504,4.95574443571104,24.6976805495208,15.9661773249428,11.3399696337992,21.071799954109,19.4768421104021,NA,NA,40246,95.8231873975053,50.3379217810466,34876,94.0818901250143,46.0459915127882,81576,92.7895459448857,38.0369226243013,48135,88.3078840760361,32.637374052145,165177,94.3999467238175,42.5537453761722,96.6296760444856,91.6096066643661,41.410123685501,22142,84.8387679523078,16.9767861981754,1.50392918435552,1.14714117965857,0.135489115707705,11549,86.9166161572431,62.3950125551996,98,100,5.10204081632653,2229,72.1848362494392,21.3548676536563,3305,86.7473524962179,39.0922844175492,8603,79.7861211205393,29.9895385330699,22494,7.73539610562817,26.2692273495154,50.5379212234374,15.457455321419,97245,2.44125661987763,5.02853617152553,24.259344953468,16.5067612730732,10.5064527739215,22.5152964162682,18.7423517918659,NA,NA,20144,95.422954725973,47.1405877680699,17128,94.2141522652966,43.4668379262027,39606,92.3521688633035,38.453769630864,20367,88.5992045956695,39.0337310354986,78814,94.2916233156546,43.008856294567,96.4105361991524,91.2972314563402,41.8440886136981,10178,83.9752407152682,16.7419925329141,1.18883867164472,NA,0,5516,89.0681653372009,65.9535895576505,25,100,0,883,73.4994337485844,19.9320498301246,1708,86.3583138173302,41.3348946135831,4093,81.0163694111898,29.7092597117029,23095,5.16129032258065,22.0264126434293,50.2576315219745,22.5546655120156,107588,2.53745770903818,4.88995055210618,25.0938766405175,15.4775625534446,12.0933561363721,19.7670743949139,20.1407220136075,"(X)","(X)",20102,96.2242562929062,53.5419361257586,17748,93.9542483660131,48.535046202389,41970,93.2022873481058,37.6435549201811,27768,88.0942091616249,27.945836934601,86363,94.4988015701168,42.1384157567477,96.8296608501326,91.8946771186735,41.0140916827808,11964,85.5733868271481,17.1765295887663,1.7719826145102,1.64660648612504,0.250752256770311,6033,84.9494447207028,59.1413890270181,73,100,6.84931506849315,1346,71.3224368499257,22.2882615156018,1597,87.1634314339386,36.6938008766437,4510,78.669623059867,30.2439024390244
36001,2018,"Albany",60637,26.4,12.8,8.5,3.8,23.6,12.9,7,3.4,29.1,12.7,9.8,4.2,45521,6.99896750950111,26.0978449506821,46.5147953691703,20.3883921706465,204509,2.48546518735117,4.86384462297503,24.1114082998792,16.1445217569887,11.1139363059816,21.0636206719509,20.2172031548734,92.6506901896738,41.2808238268242,40071,95.695141124504,49.8290534301615,34776,93.9124683689901,47.4235104669887,80246,93.0202128455001,39.18450763901,49416,88.6939452808807,33.4304678646592,164020,94.5848067308865,43.2319229362273,96.6827216193147,91.8461163272772,42.1247408852579,22278,83.8585151270312,18.5250022443666,1.5261693150193,1.02791992099829,0.175060597899273,11708,87.2907413734199,65.4936795353604,92,100,0,2419,79.0409260024804,23.728813559322,3652,87.7875136911282,30.2847754654984,8906,82.0682685829778,29.598023804177,22424,8.05387085265787,27.8005708169818,47.4759186585801,16.6696396717802,97216,2.49547399605003,5.00637755102041,23.6576283739302,16.4993416721527,10.3419190256748,22.4870391705069,19.5122202106649,NA,NA,20092,95.2518415289668,47.0187139159865,17101,93.9009414654114,44.2722647798374,39006,92.2986207250167,39.2657539865662,21017,89.0945425132036,40.4244183280202,78326,94.3211704925567,43.4632178331589,96.481372724255,91.3962158159487,42.3920537241784,10135,83.3941785890479,20.1874691662555,1.44055254070054,NA,0,5607,89.1564116283217,69.1457107187444,31,100,0,981,76.8603465851172,20.9989806320082,1990,87.9899497487437,33.0653266331658,4266,81.9034224097515,28.9029535864979,23097,5.97480192232757,24.4447330822185,45.5816772741049,23.9987877213491,107293,2.47639640983102,4.73469844258246,24.5225690399187,15.8230266652997,11.8134454251442,19.7738901885491,20.8559738286747,"(X)","(X)",19979,96.1409479953952,52.6552880524551,17675,93.9236209335219,50.4724186704385,41240,93.7027158098933,39.1076624636275,28399,88.3974787844642,28.2545160040846,85694,94.8257754335193,43.0205148551824,96.8667584661703,92.2573342357691,41.8804116974351,12143,84.2460676933213,17.1374454418183,1.5976282631969,1.40821872683851,0.321172692085975,6101,85.5761350598263,62.1373545320439,61,100,0,1438,80.528511821975,25.5910987482615,1662,87.5451263537906,26.9554753309266,4640,82.2198275862069,30.2370689655172
36001,2019,"Albany",63037,27.1,11.9,7.6,4.1,23.6,12,6,3.3,30.7,11.9,8.9,4.9,45150,6.67109634551495,28.3211517165006,43.78073089701,21.2270210409745,204918,2.58786441405831,5.27186484349838,22.9564996730399,15.6047784967646,11.7564098810256,21.4207634273222,20.4018192642911,92.1402707424433,41.8225826916132,40297,94.1707819440653,49.011092637169,34918,93.9229050919297,48.4563835271207,79012,92.2669974181137,39.6661266643042,50691,89.1006293030321,34.8996863348523,163660,94.5460100207748,43.9930343394843,96.3552486863009,91.5086154222168,42.8449224000978,22252,82.2982203846845,19.1218766852418,1.34369944274672,0.840373898975373,0.125831385942837,12059,84.8660751306078,62.8742018409487,94,100,0,2217,72.4402345511953,23.6355435272891,4337,84.0212128199216,30.2974406271616,9261,81.222330201922,28.8089839110247,22198,7.60428867465537,29.2143436345617,45.8735021173079,17.3078655734751,97391,2.64911542134283,5.65349981004405,22.6817673090943,15.9624605969751,10.8480249715066,22.7433746444743,19.4617572465628,91.6973847686131,42.2051318910372,20198,93.5884741063472,44.3608278047331,17151,93.195732027287,44.7204244650458,38419,91.3272078919285,39.6106093339233,21623,89.4001757387966,42.8062711002174,78102,94.0961819159561,44.3496965506645,96.2420936723772,91.0040715986786,43.2549742644234,10169,80.9224112498771,18.8022421083686,1.288228931065,NA,0,5767,86.0412692907924,63.4125195075429,42,100,0,887,69.1093573844419,18.2638105975197,2293,84.212821631051,32.0540776275621,4417,79.3072220964456,26.8960833144668,22952,5.76856047403276,27.4573021958871,41.756709654932,25.0174276751481,107527,2.53238721437406,4.92620458117496,23.2053344741321,15.2808131911055,12.5791661629172,20.2228277548895,21.2532666214067,"","",20099,94.7559580078611,53.6842628986517,17767,94.6248663252097,52.06281308043,40593,93.1564555465228,39.7186707067721,29068,88.8778037704692,29.0181643043897,85558,94.956637602562,43.6674536571682,96.4585427429346,91.9691904906613,42.4706047359686,12083,83.4560953405611,19.3908797484069,1.39038318298436,1.24141355623603,0.231730530497393,6292,83.7889383343929,62.3808010171647,52,100,0,1330,74.6616541353384,27.218045112782,2044,83.8062622309198,28.3268101761252,4844,82.9686209744013,30.5532617671346
36003,2015,"Allegany",32377,26.5,14.9,10.4,3.9,23,12.9,8.6,2.8,31.3,17,12.1,4.8,7461,7.23763570566948,21.3644283608095,65.6614394853237,5.73649644819729,30568,3.38589374509291,8.03127453546192,38.7235017011254,16.8378696676263,13.0070662130332,9.83381313792201,10.1805809997383,NA,NA,4930,87.7687626774848,23.4077079107505,4874,91.8342224045958,20.9478867459992,12894,89.9643244920118,19.0398635024042,7870,84.8157560355781,18.9072426937738,29881,88.7721294468057,19.6178173421238,99.4645426859878,88.2534051738563,19.4437937150698,101,57.4257425742574,17.8217821782178,97.029702970297,93.0693069306931,6.93069306930693,273,82.7838827838828,70.3296703296703,0,NA,NA,77,84.4155844155844,10.3896103896104,138,78.9855072463768,22.463768115942,245,90.2040816326531,27.7551020408163,4032,8.45734126984127,24.9503968253968,61.2599206349206,5.33234126984127,15066,4.28116288331342,9.2061595645825,39.7650338510554,15.9365458648613,12.6642771804062,8.88092393468738,9.26589672109385,NA,NA,2471,84.581141238365,19.1420477539458,2439,89.3808938089381,15.0061500615006,6464,88.1806930693069,17.6361386138614,3692,82.9902491874323,20.4496208017335,14718,86.7509172441908,17.8760701182226,99.7214295420574,86.4791411876614,17.8081261040902,58,63.7931034482759,1.72413793103448,127.586206896552,NA,0,135,81.4814814814815,75.5555555555556,0,NA,NA,31,67.741935483871,0,50,56,0,66,83.3333333333333,15.1515151515152,3429,5.8034412365121,17.1478565179353,70.8369787109945,6.21172353455818,15502,2.51580441233389,6.8894336214682,37.7112630628306,17.7138433750484,13.3402141659141,10.7599019481357,11.0695394142691,"(X)","(X)",2459,90.9719398129321,27.6941846278975,2435,94.2915811088296,26.8993839835729,6430,91.7573872472784,20.4510108864697,4178,86.4289133556726,17.5442795595979,15163,90.7340236101035,21.3084481962672,99.2151948822792,89.9755984963398,21.0314581547187,43,48.8372093023256,39.5348837209302,55.8139534883721,55.8139534883721,16.2790697674419,138,84.0579710144928,65.2173913043478,0,NA,NA,46,95.6521739130435,17.3913043478261,88,92.0454545454545,35.2272727272727,179,92.7374301675978,32.4022346368715
36003,2016,"Allegany",32497,25.9,14.4,11.2,4,23.2,11.3,9.3,3.5,29.5,17.9,12.8,4.4,7493,7.01988522621113,20.6192446283198,67.3028159615641,5.05805418390498,30449,3.5042201714342,7.44852047686295,37.7943446418602,17.9874544320011,12.785313146573,10.1316956221879,10.3484515090808,NA,NA,4875,88.5333333333333,24,4809,91.5990850488667,22.7698066126014,12755,90.2156017248138,18.9494315954528,8010,85.9675405742822,19.4007490636704,29719,89.2122884350079,19.9367408055453,99.5120966385141,88.7378444765975,19.7987819240217,104,59.6153846153846,25.9615384615385,66.3461538461538,66.3461538461538,7.69230769230769,334,86.2275449101796,72.7544910179641,0,NA,NA,53,69.811320754717,13.2075471698113,170,85.2941176470588,15.2941176470588,199,87.4371859296482,25.6281407035176,4032,7.46527777777778,24.0079365079365,64.2857142857143,4.24107142857143,15062,4.11631921391581,8.57787810383747,39.4170760855132,17.3217368211393,12.0369140884345,9.44097729385208,9.08909839330766,NA,NA,2502,85.2917665867306,20.1838529176659,2417,89.573851882499,16.7563094745552,6370,88.8069073783359,17.4097331240188,3773,84.6541213888153,20.4611714815796,14651,87.4411302982732,17.9441676336086,99.7474575114327,87.2022387550338,17.9168657429527,58,68.9655172413793,13.7931034482759,93.1034482758621,NA,0,185,89.1891891891892,83.2432432432432,0,NA,NA,32,56.25,0,82,75.609756097561,0,61,73.7704918032787,6.55737704918033,3461,6.50101126841953,16.6714822305692,70.8176827506501,6.00982375036117,15387,2.90504971729382,6.34301683239098,36.2058880873465,18.6391109378046,13.5179047247677,10.807824787158,11.5812049132384,"(X)","(X)",2373,91.9511167298778,28.023598820059,2392,93.6454849498328,28.8461538461538,6385,91.6209866875489,20.4855129209084,4237,87.1371253245221,18.4564550389426,15068,90.9344305813645,21.8741704273958,99.2832492699761,90.2309530130077,21.6286169365543,46,47.8260869565217,41.304347826087,32.6086956521739,32.6086956521739,17.3913043478261,149,82.5503355704698,59.7315436241611,0,NA,NA,21,90.4761904761905,33.3333333333333,88,94.3181818181818,29.5454545454545,138,93.4782608695652,34.0579710144928
36003,2017,"Allegany",34116,25.8,13.9,11.4,4.1,23.9,11.1,10.2,4,28.3,17.1,12.3,4.2,7377,6.94049071438254,19.4930188423478,69.2286837467805,4.33780669648909,30331,3.5673073752926,7.04559691404833,37.796314002176,18.7497939401932,13.0493554449243,9.93043420922489,9.86119811414065,NA,NA,4801,88.9606332014164,21.7246406998542,4720,92.4576271186441,24.3220338983051,12581,90.0405373181782,17.6933471107225,8229,86.875683558148,19.2733017377567,29571,89.6790774745528,19.3162219742315,99.729464678232,89.4220689188732,19.2418247607453,116,59.4827586206897,26.7241379310345,61.2068965517241,61.2068965517241,5.17241379310345,365,75.8904109589041,57.8082191780822,0,NA,NA,50,72,40,158,88.6075949367089,14.5569620253165,123,85.3658536585366,35.7723577235772,4000,6.575,22.975,66.625,3.825,15009,4.41734959024585,7.89526284229462,39.9560263841695,17.8492904257446,11.7396228929309,9.4143513891665,8.72809647544806,NA,NA,2437,85.1456709068527,16.2494870742716,2389,90.5818334030975,20.8036835496023,6284,88.653723742839,16.390833863781,3899,85.9451141318287,20.5180815593742,14591,87.9651840175451,17.5793297238023,99.8286615036666,87.8075526009184,17.5656226440957,58,63.7931034482759,27.5862068965517,70.6896551724138,NA,0,179,74.3016759776536,62.0111731843575,0,NA,NA,36,80.5555555555556,50,104,82.6923076923077,12.5,54,83.3333333333333,37.037037037037,3377,7.37340835060705,15.3686704175304,72.3127035830619,4.94521764880071,15322,2.73462994387156,6.21328808249576,35.6807205325675,19.6319018404908,14.3323325936562,10.4359744158726,10.9711525910456,"(X)","(X)",2364,92.8934010152284,27.3688663282572,2331,94.3800943800944,27.9279279279279,6297,91.4244878513578,18.9931713514372,4330,87.7136258660508,18.1524249422633,14980,91.3484646194927,21.0080106809079,99.6328437917223,90.9946595460614,20.8744993324433,58,55.1724137931034,25.8620689655172,51.7241379310345,51.7241379310345,10.3448275862069,186,77.4193548387097,53.7634408602151,0,NA,NA,14,50,14.2857142857143,54,100,18.5185185185185,69,86.9565217391304,34.7826086956522
36003,2018,"Allegany",34784,26.9,14.3,12,4.9,24,11.2,9.9,5,30.5,17.8,13.8,4.9,7284,8.03130148270181,18.8083470620538,68.7122460186711,4.44810543657331,30155,3.21008124689106,6.81479025037307,36.6506383684298,19.406400265296,13.6826396949096,10.0480848947107,10.1873652793898,89.9751285027359,20.2354501741005,4761,89.3719806763285,22.1802142407057,4648,93.4165232358003,25.3227194492255,12302,90.716956592424,17.6637945049585,8444,87.3401231643771,20.0852676456656,29427,90.1213171577123,19.7913480816937,99.7451320216128,89.8766438984606,19.7165868080334,150,55.3333333333333,8.66666666666667,52,52,0,304,95.7236842105263,72.6973684210526,0,NA,NA,59,72.8813559322034,40.6779661016949,137,85.4014598540146,14.5985401459854,122,84.4262295081967,38.5245901639344,3904,8.04303278688525,21.6444672131148,66.2909836065574,4.02151639344262,14911,3.7153779089263,7.53805915096238,38.8706324190195,18.9725705854738,12.7892160150225,9.32197706391255,8.79216685668299,NA,NA,2414,87.4067937033969,16.2800331400166,2342,92.2288642186166,20.1537147736977,6143,89.581637636334,16.2461338108416,4012,86.2412761714855,20.8873379860419,14536,88.8346175013759,17.5082553659879,99.7867363786461,88.6282333516786,17.4807374793616,75,69.3333333333333,9.33333333333333,54.6666666666667,NA,0,140,97.1428571428571,85.7142857142857,0,NA,NA,45,82.2222222222222,53.3333333333333,74,72.972972972973,6.75675675675676,67,86.5671641791045,41.7910447761194,3380,8.01775147928994,15.5325443786982,71.508875739645,4.94082840236686,15244,2.71582261873524,6.10732091314616,34.4791393335083,19.8307530831803,14.5565468381002,10.7583311466807,11.5520860666492,"(X)","(X)",2347,91.3932680017043,28.2488282914359,2306,94.6227233304423,30.5724197745013,6159,91.8493261893164,19.0777723656438,4432,88.3348375451263,19.3592057761733,14891,91.377342018669,22.0200120878383,99.7045195084279,91.095292458532,21.8991337049224,75,41.3333333333333,8,49.3333333333333,49.3333333333333,0,164,94.5121951219512,61.5853658536585,0,NA,NA,14,42.8571428571429,0,63,100,23.8095238095238,55,81.8181818181818,34.5454545454545
36003,2019,"Allegany",36164,28.9,14.9,11.5,5.1,24.8,11.6,9.1,5,33.9,18.6,13.6,5.2,7209,7.18546261617423,21.3205715078374,67.110556249133,4.38340962685532,30038,3.1260403488914,6.09561222451561,36.6602303748585,19.3155336573673,13.9356814701378,10.6165523670018,10.2503495572275,90.778347426593,20.8669019242293,4731,91.8199112238427,25.5971253434792,4587,92.0427294528014,24.4168301722259,12124,92.1725503134279,17.68393269548,8596,87.5639832480223,20.8585388552815,29306,90.8448781819423,20.3780795741486,99.6928956527673,90.5582474578585,20.3200709752269,152,75.6578947368421,11.8421052631579,38.8157894736842,38.8157894736842,0,355,94.3661971830986,65.3521126760563,0,NA,NA,43,62.7906976744186,55.8139534883721,123,88.6178861788618,17.8861788617886,140,83.5714285714286,30.7142857142857,3902,6.68887749871861,25.4997437211686,63.9928241927217,3.81855458739108,14874,3.5968804625521,6.83071130832325,39.0816189323652,18.7979023799919,12.8277531262606,9.73510824257093,9.130025547936,89.5724082291246,18.8651337905069,2394,90.0167084377611,19.3400167084378,2290,91.0480349344978,19.0829694323144,6094,90.7778142435182,16.6721365277322,4096,86.6943359375,21.728515625,14493,89.6639757124129,18.1673911543504,99.7102049265163,89.3879804043331,18.1121920927344,92,83.695652173913,13.0434782608696,25,NA,0,165,90.9090909090909,80,0,NA,NA,36,66.6666666666667,63.8888888888889,65,83.0769230769231,9.23076923076923,78,84.6153846153846,39.7435897435897,3307,7.77139401270033,16.3894768672513,70.7892349561536,5.04989416389477,15164,2.66420469533105,5.37457135320496,34.2851490371933,19.8232656291216,15.0224215246637,11.4811395410182,11.3492482194672,"","",2337,93.6670945656825,32.0068463842533,2297,93.0343926861123,29.734436221158,6030,93.5820895522388,18.7064676616915,4500,88.3555555555556,20.0666666666667,14813,92.000270033079,22.5410112738811,99.6759603051374,91.7032336461216,22.4802538310943,60,63.3333333333333,10,60,60,0,190,97.3684210526316,52.6315789473684,0,NA,NA,7,42.8571428571429,14.2857142857143,58,94.8275862068966,27.5862068965517,62,82.258064516129,19.3548387096774
