"DM","May22_2012","no_SEM","log_revenue"
"500",0,1,11.2280041356893
"501",0,0,14.5799985872923
"502",0,0,10.3851632732422
"503",0,0,10.4816603906617
"504",0,0,13.3949759718643
"505",0,1,12.8164045550376
"506",0,0,13.2420969500527
"507",0,0,10.9971237549802
"508",0,0,12.2983142094271
"509",0,0,10.9302486877432
"510",0,0,12.6170785055582
"511",0,1,13.3440974796622
"512",0,0,12.4178761293517
"513",0,1,11.3247590886973
"514",0,0,11.8842459184537
"515",0,0,11.9867923699168
"516",0,0,10.3958226464661
"517",0,1,12.2739783711681
"518",0,0,11.6760063304084
"519",0,0,10.9795385546987
"520",0,0,10.6408740972106
"521",0,1,11.7692389923426
"522",0,0,10.4525215824568
"523",0,0,11.2878460361404
"524",0,0,13.0734043865138
"525",0,1,9.83779838309064
"526",0,0,10.1277876569766
"527",0,0,12.1947285315923
"528",0,1,13.5870613374118
"529",0,0,11.7182416371304
"530",0,0,10.6161062572855
"531",0,0,10.9625680788761
"532",0,0,11.6495778119211
"533",0,0,12.3429447772439
"534",0,1,12.7451667827967
"535",0,0,12.0279628857876
"536",0,1,10.8148113619997
"537",0,0,10.2097773055538
"538",0,0,11.3710618147763
"539",0,0,12.8920233066556
"540",0,0,10.771359806372
"541",0,0,11.3915653634317
"542",0,1,11.4536095554025
"543",0,0,10.9802318580881
"544",0,1,11.8245697467386
"545",0,1,10.8092270781667
"546",0,1,11.0784393182748
"547",0,1,11.3188721665102
"548",0,1,12.1554518065962
"549",0,0,10.0105123162908
"550",0,1,10.4065124972479
"551",0,0,10.8305066688661
"552",0,0,8.94428480155345
"553",0,0,9.89050599152194
"554",0,0,10.2976116385507
"555",0,0,11.3511384860024
"556",0,1,11.5779077545166
"557",0,1,11.4748437349722
"558",0,0,8.88401675722837
"559",0,0,10.1785739863796
"560",0,0,12.1800616306923
"561",0,1,11.7429493032232
"563",0,1,11.8566302471147
"564",0,0,11.4981696308873
"565",0,1,10.0160016692389
"566",0,1,11.8856529845273
"567",0,0,11.9210107033055
